new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Used,2019 RAM 1500 Classic Express," 55,194 mi.","$25,667",c205a910-e574-4cf3-907f-66027c14795b,16–23,Four-wheel Drive ,E85 Flex Fuel ,None reported,,No,No,
Used,2021 Chevrolet Trax LT," 54,893 mi.","$18,496",e1b921a9-7f7b-4161-ac22-ccf78ffafc8c,23–30,All-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2021 Ford Escape SE," 19,297 mi.","$22,572",ed8f9a96-1d1e-459e-8fbf-40ca94e808d4,26–31,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,At least 1 open recall reported
Used,2019 Chevrolet Trax LT," 36,348 mi.","$17,969",d3f731e8-9e1b-483d-a82f-d3f6f76c1593,24–29,All-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2013 Toyota Tacoma Base," 64,712 mi.","$22,998",2f3dcaa0-993e-4a37-9456-216022548395,16–21,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
Used,2020 Toyota RAV4 LE," 40,500 mi.","$23,998",21f71b1f-3cb6-4aec-a714-946d8d598e31,27–34,All-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2020 Mazda Mazda3 AWD w/Premium Package," 26,032 mi.","$23,587",f7a5005d-439b-4e82-af67-388a80bfc099,24–32,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2019 Ford Escape SE," 41,740 mi.","$20,497",5d55078b-ca8a-47ba-9e23-597177a94043,22–28,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,At least 1 open recall reported
Used,2020 Volkswagen Tiguan 2.0T S," 62,770 mi.","$19,705",b8d174c9-4ffe-4969-bf4e-2162fdb3a4b5,20–27,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,No,
Used,2021 Jeep Wrangler Unlimited Sahara," 27,928 mi.","$38,959",5089389e-45f3-409b-ac76-6dde9e6e6baf,17–23,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
Used,2019 Ford F-150 XL," 59,809 mi.","$32,969",463c11ae-03a0-48bf-ac7c-be0e182b5ee4,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2020 Kia Forte LXS," 23,167 mi.","$17,593",b3c7adad-6269-4c46-b17f-55f1486b98a3,29–40,Front-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2019 Subaru Forester Sport," 78,388 mi.","$21,982",f30f72b6-849d-4f43-868e-c2284dc82a49,26–33,All-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2012 Mazda CX-9 Grand Touring," 113,181 mi.","$9,988",eedb734f-6761-471a-9b67-b7be9e78c929,16–22,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2020 Jeep Grand Cherokee High Altitude," 53,027 mi.","$29,982",0f1e6edf-b06a-41a8-bf8b-b1c753311bf0,18–25,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2020 GMC Terrain SLT," 83,330 mi.","$20,982",d9183164-03c5-4e46-a213-ac611acbc785,25–28,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,No,
Used,2021 Jeep Wrangler Unlimited Sport," 42,737 mi.","$33,982",5458c183-289c-480a-9f79-d0b3a6137d9e,17–23,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Jeep Certified,2022 Jeep Gladiator Altitude 4x4," 12,997 mi.","$45,265",7055091e-37a2-46ff-9606-87848ef341f0,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
RAM Certified,2021 RAM 3500 Big Horn Crew Cab 4x4 6'4' Box," 63,072 mi.","$57,495",717c8cbe-7e1e-4690-98c9-eff5f8f8c9b0,–,Four-wheel Drive ,Diesel ,None reported,,No,No,
RAM Certified,2023 RAM 1500 Laramie Crew Cab 4x4 5'7' Box," 6,596 mi.","$59,835",d2c4e279-c5e8-4bb7-8d1f-482096e05210,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
RAM Certified,2022 RAM 1500 Laramie Crew Cab 4x4 5'7' Box," 24,205 mi.","$49,995",aa008002-6517-4704-9ebf-100eb299e8ca,–,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Jeep Certified,2020 Jeep Wrangler Unlimited Rubicon 4X4," 51,040 mi.","$43,200",719e94bf-a719-4219-b405-1a938b7b3b75,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
RAM Certified,2022 RAM 1500 Laramie Crew Cab 4x4 5'7' Box," 23,021 mi.","$50,000",49bdc9a3-f3b4-4ddd-aae4-e67cfc9dfbc8,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
RAM Certified,2020 RAM 1500 Big Horn Crew Cab 4x4 5'7' Box," 36,680 mi.","$39,575",b5ca3ee3-6d03-4d9d-8517-3ff7d27493e8,–,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Jeep Certified,2020 Jeep Wrangler Unlimited Willys Sport 4X4," 32,748 mi.","$39,965",9beac801-153f-40df-8023-5460f3463291,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
RAM Certified,2023 RAM 1500 Classic Tradesman Crew Cab 4x4 5'7' Box," 2,099 mi.","$40,495",3b2445b3-e416-4372-90dd-430a05bb959c,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2022 Chevrolet Silverado 1500 Limited Custom Trail Boss," 35,803 mi.","$37,877",c0174e3b-13a2-41dd-8a21-90df025be7cb,–,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2020 Ford Edge SEL," 27,139 mi.","$24,988",436e7676-30e1-4d90-8d22-e8c90e9a09d9,21–28,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2020 Ford Escape SE," 35,867 mi.","$19,200",ec809fe1-2f51-430d-af86-597288f2335a,26–31,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2022 Ford Edge SEL," 46,964 mi.","$25,137",891b8a4d-9e2d-4487-84ac-f2f0364853eb,21–28,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,No,
,,,,ed12f0ed-cd09-43bf-b344-32cc1e4df7e8,,,,,,,,
Used,2022 Subaru Impreza Base," 5,342 mi.","$22,667",14a29c53-4562-4171-a09b-50ad12ab5300,28–36,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2021 Chrysler Pacifica Hybrid Touring L," 66,909 mi.","$23,998",2de79feb-5e16-402e-9ea6-c3ae977f71bb,–,Front-wheel Drive ,Hybrid ,At least 1 accident or damage reported,,Yes,No,
Used,2019 Jeep Compass Latitude," 18,062 mi.","$20,499",08dde65c-14ef-4309-80e8-f38ad62ce2bd,22–31,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2019 Chevrolet Silverado 1500 High Country," 82,617 mi.","$40,513",148fac8e-0cc8-4049-9c08-670f58264a37,16–20,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Chevrolet Certified,2020 Chevrolet Silverado 1500 RST," 31,222 mi.","$46,333",8e3d9636-3bb3-4fa7-821f-eb012e222af4,16–22,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2021 Jeep Renegade Latitude," 23,248 mi.","$23,000",c901ce2e-876a-46d3-995c-5a0df979ec6e,21–29,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Used,2021 Chevrolet Silverado 1500 Custom," 17,861 mi.","$35,899",96371253-fd44-4325-aae2-17cecc9dd8e4,19–22,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2022 Chevrolet Silverado 1500 RST," 20,165 mi.","$49,995",3ea39216-24e2-4ead-bc02-d3748c5ea7e6,14–19,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2020 Chevrolet Equinox LS," 35,572 mi.","$19,500",d9aea2d7-8bca-4078-a6e7-046d463b12b6,25–30,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Chevrolet Certified,2021 Chevrolet Silverado 1500 High Country," 22,884 mi.","$50,995",c6d40305-b78e-487f-9cba-aa3799d7b254,15–21,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Used,2020 Ford Escape SE," 42,661 mi.","$21,499",316ab803-5f01-4917-9880-f91cd91cfb82,26–31,All-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2021 Chevrolet Silverado 1500 1LT," 14,900 mi.","$44,044",7227ea1e-b252-40be-bd54-2957afdf97d9,16–22,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
,,,,c3040366-94fd-4e5d-971a-7aa07122d3ae,,,,,,,,
Used,2006 Subaru Outback 3.0 R VDC Limited," 120,000 mi.","$4,500",48455bc0-cbcc-4cff-8a08-d82b3c6e3c8a,,,,None reported,Yes,No,Yes,
Used,2023 GMC Yukon Denali," 8,900 mi.","$81,500",514ae5a4-795d-4762-825c-1d6f9ff729d4,14–18,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
,,,,a59f06f1-36ef-4df2-a52d-c6f63cc6b73e,,,,,,,,
Used,2016 Toyota 4Runner SR5," 95,289 mi.","$25,000",c2785da5-b9ec-4e6a-9630-1f6095f07f45,17–21,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,Yes,
Kia Certified,2022 Kia Sportage Nightfall," 19,089 mi.","$27,498",4cd26744-76d8-431f-9d72-6a6f511a1627,–,All-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
,,,,68416da6-2ef0-4a06-b219-a99d53435661,,,,,,,,
Used,2022 Buick Encore GX Preferred," 15,478 mi.","$24,270",bdf4d1ae-3f85-4148-9e25-c9795d334f3a,26–29,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Kia Certified,2022 Kia Carnival SX Prestige," 29,881 mi.","$43,214",0ccd764b-5c1d-45de-af93-b072cfa3e1c0,–,Front-wheel Drive ,Gasoline ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Used,2020 Toyota Yaris Sedan LE," 16,487 mi.","$17,968",359fcd80-4ab0-492d-8c3d-c35f859617d6,32–40,Front-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2020 RAM 2500 Tradesman," 39,907 mi.","$36,942",d1ad23fd-a4fc-486b-9cc2-910846556944,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,At least 1 open recall reported
Used,2021 Subaru Outback Limited," 35,533 mi.","$28,265",145518fd-925e-4e63-b864-37d15e18581d,26–33,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,Yes,At least 1 open recall reported
Used,2019 Subaru Outback 2.5i Limited," 48,561 mi.","$24,377",484c3a3c-cf1b-47c4-a59f-afa05739f637,25–32,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Toyota Certified,2023 Toyota Tacoma SR," 5,020 mi.","$34,989",f2e5e014-eca5-490d-a991-659bfed32643,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2022 Toyota 4Runner Trail Spec," 14,015 mi.","$41,749",46fc8529-38a6-417c-8201-460c5bc837ec,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Chevrolet Certified,2021 Chevrolet Suburban ," 49,528 mi.","$64,999",bdf32369-d55c-48da-bc53-614f12a34e75,–,– ,– ,At least 1 accident or damage reported,,Yes,Yes,
Buick Certified,2020 Buick Enclave ," 41,562 mi.","$42,850",91acb896-8558-4c36-8269-7476a9f13fd4,–,All-wheel Drive ,– ,None reported,,Yes,No,
,,,,72151847-75b3-4198-9e29-c075909e5a51,,,,,,,,
Used,2016 Mercedes-Benz E-Class E 350 4MATIC," 76,626 mi.","$19,500",4d8f4537-2924-44c2-b929-e09e3d4745b1,20–28,All-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2022 GMC Sierra 2500 SLE," 32,614 mi.","$53,500",aa2e0b13-32b1-4a94-aeb2-603eea9c8ace,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
,,,,64154c62-43f2-4ca9-963a-dc3474e66c33,,,,,,,,
Used,2022 Chevrolet Trailblazer RS," 23,378 mi.","$27,996",74a691cb-5700-421b-9792-88d5677a83cb,26–30,All-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2022 GMC Terrain SLE," 16,567 mi.","$26,400",82ea888b-3560-40ee-8122-b80512890577,25–28,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2020 Chevrolet Silverado 1500 Custom," 39,287 mi.","$33,997",32f2e83b-ee37-40e7-acf5-b44b5dd55cf1,15–20,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2021 Chevrolet Silverado 1500 High Country," 25,195 mi.","$52,997",d76f0707-23e3-462c-bb66-30a1b0aef3a2,16–22,Four-wheel Drive ,Diesel ,None reported,,No,Yes,
Used,2019 Volvo XC90 T6 Momentum," 48,186 mi.","$33,523",d8ebb056-d50b-41c9-8222-579be089a4cd,19–26,All-wheel Drive ,Gasoline ,None reported,,No,No,
Hyundai Certified,2022 Hyundai Tucson Limited," 15,689 mi.",Not Priced,a3189fab-4c29-4ef3-be41-0ef0063db428,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2023 Hyundai Tucson SEL," 6,901 mi.",Not Priced,24ea102d-3a5c-4090-bfdb-1d1ebbfd0531,–,Front-wheel Drive ,Gasoline ,None reported,,Yes,No,
Subaru Certified,2024 Subaru Outback Touring XT," 9,218 mi.","$39,800",9dfe3109-169e-4781-bb2d-a2247daeea7e,–,– ,– ,"5 years/80,000 miles",Coverage available for purchase,"7 years/100,000",152-point inspection,Yes
Used,2020 Subaru WRX Premium," 22,403 mi.","$28,999",39e2d7f2-f70f-4cd8-bbad-34d2c99253ad,21–27,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2019 Toyota Tacoma TRD Sport," 62,688 mi.","$33,577",4b19d366-d360-4a31-bf3a-b89d6f0f6f4b,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2022 Ford Bronco Wildtrak," 6,322 mi.","$54,566",2a01795b-0be2-4e79-9314-4c0ac286b483,17–17,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2020 GMC Sierra 1500 SLE," 51,142 mi.","$36,997",08c1f9a7-a8ef-4837-bc93-2fb12611dd55,19–22,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2020 Ford Edge SEL," 21,468 mi.","$26,994",8eacbbee-e3e0-4dd0-b7a0-24dd6f8060e7,21–28,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2021 Subaru WRX STI Base," 27,984 mi.","$36,769",29c9932e-83ac-4389-803b-4c4dbc8548c3,16–22,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,At least 1 open recall reported
Used,2021 Chevrolet Silverado 1500 Custom," 30,440 mi.","$34,255",ffc5ee4f-5bd5-49ca-a067-9112fb4717f8,19–22,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2017 Mazda CX-5 Sport," 70,236 mi.","$17,982",ed69cde3-539c-447a-b12f-b442895df42f,23–29,All-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2020 Honda CR-V EX-L," 66,224 mi.","$23,982",d815c285-77b0-4e3d-b504-a9268e780170,27–32,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2023 Kia Telluride EX X-Line," 12,654 mi.","$46,982",bf2f2d90-b0a1-451b-a339-f8c20a2183f3,18–24,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2021 Honda Civic LX," 50,767 mi.","$18,982",dac3275a-03bd-4bda-aed4-65d5bbbf0329,30–38,Front-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Used,2003 Dodge Dakota SLT," 247,703 mi.","$2,995",949c36cb-5805-4261-ad8b-ce0c0b91139a,15–21,Rear-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,Yes,
Used,2021 Nissan Altima 2.5 SV," 37,782 mi.","$20,982",85fa4be1-4744-4c10-a725-22f34ed64379,26–36,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2014 Buick Encore Base," 97,369 mi.","$10,982",3dc9b6d4-42a3-4166-9fb2-01639bcc48a4,23–30,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,Yes,
Used,2021 Honda HR-V Sport, ,"$21,982",5630d86a-b425-402b-99ef-f89cc4a9d67e,26–31,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Jeep Certified,2022 Jeep Compass Limited 4x4," 22,750 mi.","$30,270",88e5be75-62e4-447a-bceb-bf65bf57b1da,–,Four-wheel Drive ,Gasoline ,None reported,,No,No,
,,,,1e904ad4-1e18-46eb-93c3-e408e479cf2c,,,,,,,,
Jeep Certified,2020 Jeep Grand Cherokee Laredo 4X4," 66,398 mi.","$27,495",3b1967f6-b957-4a35-92de-df33e00ea35d,–,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Jeep Certified,2022 Jeep Wrangler Rubicon 4x4," 9,001 mi.","$48,695",944797fb-3b41-4a65-aff4-f32f8e1c891e,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Jeep Certified,2021 Jeep Compass Limited 4X4," 62,197 mi.","$24,075",d532da7c-85e2-4425-b590-ed7aa8a6890a,–,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,No,
Jeep Certified,2017 Jeep Cherokee Limited 4x4," 73,317 mi.","$19,995",4b0a07a2-e5ac-4570-ac53-703a15d2640c,–,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Jeep Certified,2021 Jeep Grand Cherokee Laredo X 4x4," 58,206 mi.","$32,985",9922741f-f51d-4208-a458-012e6140ba1f,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
RAM Certified,2021 RAM 1500 Classic Warlock Quad Cab 4x4 6'4' Box," 15,921 mi.","$40,495",adb946ba-9ea0-4da1-abbf-bb68a26212cd,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
Jeep Certified,2021 Jeep Cherokee Limited 4X4," 10,580 mi.","$30,570",4d817dd6-15ce-4b7b-9915-c9dd9c855f11,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Jeep Certified,2021 Jeep Cherokee Latitude Lux 4X4," 30,237 mi.","$27,990",88cf5900-bed0-476d-b1e2-848586f159d5,–,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,Yes,
RAM Certified,2022 RAM 1500 Classic Tradesman Regular Cab 4x2 8' Box," 9,401 mi.","$26,985",f3b100bb-1bc3-4219-9b78-73182f571094,–,Rear-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,No,
Used,2021 Jeep Grand Cherokee Laredo X," 40,620 mi.","$29,160",04dfd1a3-463c-4924-bfc8-8beb9641435b,18–25,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Used,2021 Honda CR-V EX-L," 12,670 mi.","$30,795",a1911615-5503-42ba-a26e-8b3bdd0080d4,27–32,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2021 Ford F-150 Lariat," 35,825 mi.","$46,971",7ad6db1f-244a-4448-999c-2fef686ddd4d,–,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
Used,2022 Toyota Highlander XSE," 23,363 mi.","$40,275",453cf044-0253-4869-8e56-1e6a27ce9e2f,20–27,All-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2018 RAM 1500 Sport," 83,708 mi.","$29,214",bf04ee56-a5be-4014-8629-e1794cc48298,16–23,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,No,
,,,,958c2f8c-9dff-4b18-980c-aaa615d9262c,,,,,,,,
Used,2023 GMC Sierra 2500 Denali," 12,253 mi.","$74,069",8aacdb66-d447-428b-884b-e851b26dbf03,–,Four-wheel Drive ,Diesel ,None reported,,No,No,
Used,2020 Hyundai Palisade SEL," 67,202 mi.","$27,876",fa7dcc50-b624-4d62-aff9-63cae0a59561,19–24,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2020 Lincoln Corsair Standard," 24,338 mi.","$29,510",b6d8befb-0b16-44dc-bbee-9dee6d9de8da,21–29,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2022 Toyota Tacoma TRD Off Road," 36,766 mi.","$37,784",b0b30eb5-ae0a-4615-93cd-9642974e9088,18–22,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,At least 1 open recall reported
Used,2022 Ford Escape SE," 25,822 mi.","$22,994",b7310062-9d0b-4c00-9d1e-bdc75abbe67e,43–37,All-wheel Drive ,Hybrid ,None reported,,Yes,Yes,At least 1 open recall reported
Used,2018 Honda CR-V EX-L," 68,590 mi.","$23,349",72085731-55bb-41af-a55f-f90aedb15cac,27–33,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,Yes,Yes,
Used,2020 Ford Edge SE," 61,385 mi.","$20,461",92e02e56-1035-4b21-b7f1-3016a096024d,21–28,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2018 Jeep Grand Cherokee Limited," 67,831 mi.","$22,732",9abea940-fa57-44e1-b06b-3a56bdba159a,18–25,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,No,
Used,2021 GMC Sierra 1500 Elevation," 33,195 mi.","$43,498",635c15bb-f556-4261-8a51-c06971ab93f4,18–21,Four-wheel Drive ,Diesel ,None reported,,No,No,
Used,2016 Jeep Wrangler Unlimited Sahara," 39,197 mi.","$28,444",f333db1d-421a-44e9-86e3-39a103355f31,16–21,Four-wheel Drive ,Gasoline ,At least 1 accident or damage reported,,No,No,
Used,2019 Toyota Sequoia Platinum," 52,623 mi.","$46,784",2f18c108-7c9b-407f-bedb-0beb05e941eb,13–17,Four-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2021 GMC Sierra 1500 SLE," 44,456 mi.","$41,000",2b65506c-3024-49f6-a20b-cfe41619cfe7,18–21,Four-wheel Drive ,Diesel ,At least 1 accident or damage reported,,No,Yes,
Used,2023 Kia Sportage X-Line," 24,754 mi.","$29,680",106aff7a-066e-4e8d-8b2e-bc1d1a4efba6,23–28,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,At least 1 open recall reported
Used,2021 GMC Yukon XL Denali," 58,990 mi.","$59,130",1c928745-101e-431d-b45e-4c194d97ee1a,14–19,Four-wheel Drive ,Gasoline ,None reported,,Yes,No,
Used,2021 Nissan Sentra SV," 47,340 mi.","$17,721",f9eb3ae2-1149-4047-aec1-1104c323c1f3,29–39,Front-wheel Drive ,Gasoline ,None reported,,Yes,No,At least 1 open recall reported
Used,2015 Ford F-150 XLT," 144,011 mi.","$21,766",16c435ba-1906-4f4b-86e5-42990462a8da,–,Four-wheel Drive ,E85 Flex Fuel ,None reported,,Yes,Yes,
Used,2021 Chevrolet Silverado 1500 RST," 12,366 mi.","$43,400",df867b9f-ea03-4d8f-b0fb-d2bb9b7d5ff4,19–22,Four-wheel Drive ,Gasoline ,None reported,,No,No,
Used,2018 Mazda CX-5 Sport," 56,266 mi.","$20,610",94125195-bdcc-44f5-8e98-0faf0b413323,24–30,All-wheel Drive ,Gasoline ,None reported,,No,Yes,
Used,2021 Ford Edge SEL," 19,205 mi.","$28,757",499c7f6a-a82d-4e85-a68a-6a4bceffdd86,21–28,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2024 Chevrolet Silverado 2500 LT," 8,436 mi.","$70,128",152a105a-414d-46ed-8923-dbd3285e9641,"0–0

",Four-wheel Drive ,Diesel ,None reported,,Yes,Yes,
Used,2021 Chevrolet Equinox 1LT," 10,118 mi.","$24,000",3baec521-572e-49af-8750-649344cff0dc,26–31,Front-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Used,2010 Subaru Forester 2.5 X Premium," 177,342 mi.","$6,850",a099f8fe-54a9-44b3-bb8d-4e6b1a6d949c,20–26,All-wheel Drive ,Gasoline ,None reported,Yes,No,Yes,
Used,2010 Subaru Forester 2.5 X," 164,865 mi.","$6,850",51a0ceb5-b4dd-470f-adbd-da16becbb2a0,20–26,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,No,
Used,2011 Volkswagen Jetta TDI," 160,769 mi.","$7,850",707de3f7-21d4-4326-93d1-3063bbaaeef0,30–42,Front-wheel Drive ,Diesel ,None reported,Yes,No,Yes,
Used,2013 Subaru Legacy 2.5i," 164,260 mi.","$6,850",bc49cfea-90f6-4cfa-a4fe-cc0ec65bc2cd,21–28,All-wheel Drive ,Gasoline ,At least 1 accident or damage reported,Yes,No,No,
Toyota Certified,2019 Toyota RAV4 LE," 33,300 mi.","$25,500",fe36f881-a0fb-4f4c-9b15-fabdcc74c0aa,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2023 Toyota Camry Hybrid XSE," 7,089 mi.","$34,200",19b7e822-77a7-4514-bd07-822979c3d300,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 Hybrid XLE," 19,008 mi.","$33,000",2c72109f-97d4-4c2d-9340-781485a0c77b,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 LE," 51,623 mi.","$26,500",dfd256cc-43f3-486e-aa71-2d2fe4a0ce3c,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota Tundra SR5," 32,646 mi.","$41,500",fabf046b-6110-4131-84d7-9d58d2c6b0ce,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2020 Toyota 4Runner SR5 Premiu," 25,517 mi.","$40,300",79600bf6-69d3-4d94-b2eb-d4d356db48d1,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2018 Toyota 4Runner Limited," 55,770 mi.","$32,700",0e215d13-c2fe-474b-8898-042342167114,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2019 Toyota RAV4 Hybrid XSE," 63,787 mi.","$29,500",dd83aab6-8f14-4700-a330-465b21f9c441,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Kia Certified,2021 Kia Sportage LX," 31,643 mi.","$21,168",bb8dc6f9-5d2f-494c-9c6a-16d41c038bf1,–,All-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
Kia Certified,2021 Kia Sportage S," 19,755 mi.","$24,457",0ce74d43-0fbb-4e8f-86d5-7d890a1c8dcc,–,All-wheel Drive ,– ,"6 years or newer/less than 80,000 miles","12 months/12,000 miles","10 years/100,000 miles","

          165-point inspection

",Yes
