new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Used,2009 Chrysler PT Cruiser Limited," 164,099 mi.","$4,495",3cbdf974-d49e-4ce8-b8ed-b54481563e98,,,,None reported,Yes,Yes,Yes,
Toyota Certified,2020 Toyota RAV4 Hybrid LE," 24,693 mi.","$32,119",ead8adc6-d6fa-4542-9291-cb0d7c782f6b,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota Venza LE," 43,975 mi.","$34,119",80c230aa-dc83-4ae9-b5f6-038def992de9,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 XLE," 45,313 mi.","$32,119",cb83fda3-c03d-4068-a638-aeb33758190c,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2022 Toyota RAV4 Hybrid Limited," 28,394 mi.","$43,990",32be1a82-2dd5-4c5e-a66f-f1cb526fb29f,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2022 Toyota Tacoma SR5," 29,821 mi.","$39,119",75fcc161-4bce-478a-9133-5a7c85477f88,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota Tacoma TRD Off-Ro," 35,434 mi.","$42,119",84417d51-e22f-4be3-a9a2-abad0c4825fa,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2021 Toyota RAV4 Hybrid XSE," 76,786 mi.","$36,990",df876af4-9e88-45ff-8f20-3cfee7a1e860,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
Toyota Certified,2020 Toyota Tacoma TRD Pro," 51,402 mi.","$47,119",655af366-5c67-45fe-81a9-9897c25f8595,–,– ,Gasoline ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
,,,,7a2dd710-0d18-4e15-b1ed-3104fd561008,,,,,,,,
Toyota Certified,2020 Toyota Prius Prime LE," 28,857 mi.","$29,119",ac86b0bf-0f62-4c17-9c63-32b087824122,–,– ,B ,"7 years/less than 85,000 miles","12 months/12, 000 miles","7 years/100,000 miles","

          160- or 174-point inspections

",Yes
,,,,ae9132f2-9a4b-4714-a2e4-adc7273ea38b,,,,,,,,
